National Center for Education Statistics
"Revenues (in thousands) of public postsecondary institutions using GASB standards, by state and  source of funds: 2020"

Year,State,Total,Tuition and fees (net of allowances and discounts),Federal grants and contracts,State grants and contracts,Local grants and contracts,Sales and services of auxiliary enterprises,Sales and services of hospitals,Independent operations,Other operating revenues,Federal appropriations,State appropriations,Local appropriations,Federal nonoperating grants,State nonoperating grants,Local nonoperating grants,Gifts,Investment income,Other nonoperating revenues,Capital appropriations,Capital grants and gifts,Additions to permanent endowments,Other revenues and additions
2020,Michigan,"$17,981,595","$4,544,974","$1,637,128","$96,232","$491,473","$1,131,939","$4,767,872",$0,"$632,629","$13,068","$1,696,282","$620,356","$794,704","$26,334",$0,"$355,233","$618,089","$199,117","$66,104","$70,167","$212,311","$7,584"
2020,Minnesota,"$5,966,825","$1,392,863","$482,137","$71,530","$435,472","$609,211",$0,$0,"$179,918","$19,370","$1,457,045",$0,"$416,280","$223,129","$99,188","$222,553","$106,818","$11,668","$161,723","$28,075","$2,398","$47,446"
2020,Mississippi,"$4,954,024","$768,778","$451,798","$123,443","$89,659","$343,148","$1,197,526",$354,"$186,217","$39,449","$946,216","$75,779","$362,950","$29,922",$25,"$74,789","$20,811","$58,943","$134,344","$29,475",$271,"$20,124"
2020,Missouri,"$5,540,494","$1,110,394","$249,324","$130,464","$114,783","$803,925","$1,083,440",$0,"$183,258","$32,764","$799,286","$178,932","$425,887","$16,027","$1,292","$102,908","$75,073","$78,654","$12,235","$51,994","$87,486","$2,368"
2020,Montana,"$1,162,300","$314,857","$199,492","$14,906","$29,593","$91,515",$0,$0,"$97,228","$5,654","$254,360","$11,975","$61,345",$873,$0,"$44,840","$10,580","$4,550","$6,400","$11,584",$64,"$2,484"
2020,Nebraska,"$2,960,182","$519,906","$298,421","$35,476","$215,247","$358,424","$22,067",$0,"$100,856",$0,"$743,721","$187,434","$136,663","$7,472",$609,"$146,975","$18,323","$48,919","$53,279","$60,088","$2,164","$4,139"
2020,Nevada,"$2,136,601","$475,539","$166,628","$54,958","$28,722","$84,454",$0,$0,"$183,820",$0,"$660,145",$0,"$166,414",$0,$0,"$51,536","$21,670","$27,914","$143,748","$26,463",$124,"$44,464"
2020,New Hampshire,"$997,369","$376,220","$76,998","$12,221","$40,747","$170,958",$0,$0,"$30,484",$0,"$142,755",$0,"$63,556","$4,110",$21,"$17,798","$28,313",$137,"$12,146","$4,470","$16,435",$0
2020,New Jersey,"$8,383,497","$2,584,336","$613,687","$257,961","$142,277","$470,856","$897,771",$0,"$291,526","$9,849","$1,586,780","$218,623","$602,503","$298,157",$58,"$73,155","$52,895","$71,193","$69,472","$79,082","$35,266","$28,050"
2020,New Mexico,"$4,349,343","$304,938","$387,862","$74,767","$71,054","$78,036","$1,396,811","$9,948","$235,591","$22,901","$833,709","$308,973","$229,818","$42,274","$8,736","$45,288","$58,677","$88,697","$121,527","$17,485","$5,434","$6,816"
2020,New York,"$20,053,176","$2,837,432","$764,446","$975,198","$821,915","$631,867","$3,404,123",$0,"$243,376","$466,538","$5,105,925","$1,092,902","$1,817,071","$394,465","$9,843","$75,143","$104,594","$632,419","$591,591","$52,941",$0,"$31,387"
2020,North Carolina,"$12,792,892","$2,010,495","$1,070,335","$94,102","$280,221","$1,775,531",$0,"$17,915","$238,673","$21,584","$4,148,726","$269,782","$972,715","$400,943","$6,304","$365,117","$208,636","$69,309","$379,207","$391,022","$66,109","$6,165"
2020,North Dakota,"$1,198,835","$336,175","$128,746","$32,920","$34,281","$91,847",$0,$13,"$94,026","$5,746","$315,687","$5,466","$57,822",$44,$0,"$43,019","$12,438","$2,358","$18,960","$17,502",$98,"$1,689"
2020,Ohio,"$15,349,561","$3,717,797","$759,132","$155,215","$476,902","$900,750","$3,772,719",$0,"$1,154,253","$7,050","$2,074,963","$199,512","$887,944","$63,066",$524,"$309,577","$359,598","$55,053","$237,914","$127,842","$65,046","$24,703"
2020,Oklahoma,"$5,298,381","$1,092,698","$407,077","$171,159","$253,061","$508,916","$89,641","$520,675","$184,814",$850,"$804,678","$388,428","$311,278","$74,255",$110,"$125,199","$46,147","$85,045","$39,250","$153,189",$128,"$41,783"
2020,Oregon,"$8,500,183","$1,355,931","$809,027","$71,949","$283,084","$510,171","$2,504,609",$0,"$202,069","$9,921","$960,010","$301,901","$330,330","$89,292","$9,917","$259,310","$163,742","$21,486","$56,022","$528,092","$21,847","$11,474"
2020,Pennsylvania,"$3,383,436","$1,185,970","$71,433","$119,759","$20,128","$265,483",$0,$0,"$87,291","$16,400","$764,128","$129,720","$448,592","$27,787","$2,727","$35,092","$38,762","$69,435","$78,867","$15,610",$262,"$5,992"
2020,Rhode Island,"$896,432","$318,767","$85,691","$29,874","$8,920","$99,305",$0,"$25,681","$6,091",$0,"$173,528",$0,"$64,758","$2,749",$0,"$12,270","$3,420",$0,"$57,775","$5,501",$469,"$1,632"
2020,South Carolina,"$5,467,588","$1,775,473","$498,457","$450,449","$96,435","$522,074",$0,$0,"$366,906","$13,126","$787,409","$82,344","$362,334","$3,807",$10,"$256,498","$63,239","$20,611","$112,065","$40,490","$1,030","$14,831"
2020,South Dakota,"$926,859","$253,138","$100,674","$26,181","$37,283","$61,406",$0,$0,"$55,631","$10,751","$212,535",$0,"$52,858","$1,510",$0,"$36,800","$1,913","$12,013","$19,131","$35,618","$1,562","$7,854"
2020,Tennessee,"$5,695,732","$1,207,344","$303,489","$116,739","$250,551","$357,099",$0,"$18,729","$254,318","$17,161","$1,565,912","$6,840","$538,014","$431,683",$50,"$72,233","$100,618","$28,631","$330,416","$66,840","$6,194","$22,873"
2020,Texas,"$45,069,860","$6,373,090","$2,829,426","$763,170","$2,208,858","$1,459,112","$3,561,053","$73,902","$3,233,336","$34,534","$6,612,129","$2,494,000","$2,623,524","$45,370","$36,987","$865,907","$5,550,919","$244,522","$375,161","$207,630","$321,994","$5,155,234"
2020,Utah,"$8,150,426","$964,505","$623,432","$64,542","$180,368","$275,540","$2,547,953","$960,638","$548,384",$0,"$1,106,988",$0,"$269,686","$44,220",$640,"$216,808","$131,552","$56,976","$99,962","$23,374","$29,120","$5,739"
2020,Vermont,"$953,020","$431,022","$143,956","$8,633","$66,008","$103,005",$0,$0,"$30,836",$0,"$84,464",$0,"$35,437",$0,$0,"$31,458","$11,408",$41,"$3,374",$596,"$2,804",$-24
2020,Virginia,"$11,961,144","$3,075,073","$1,014,439","$58,764","$240,461","$1,415,284","$1,731,605","$1,617","$244,952",$0,"$1,977,026","$3,819","$603,941","$34,190",$156,"$436,803","$385,604","$39,105","$324,999","$246,579","$47,298","$79,429"
