National Center for Education Statistics
"Revenues (in thousands) of public postsecondary institutions using GASB standards, by state and  source of funds: 2020"

Year,State,Total,Tuition and fees (net of allowances and discounts),Federal grants and contracts,State grants and contracts,Local grants and contracts,Sales and services of auxiliary enterprises,Sales and services of hospitals,Independent operations,Other operating revenues,Federal appropriations,State appropriations,Local appropriations,Federal nonoperating grants,State nonoperating grants,Local nonoperating grants,Gifts,Investment income,Other nonoperating revenues,Capital appropriations,Capital grants and gifts,Additions to permanent endowments,Other revenues and additions
2016,Total,"$353,989,114","$73,317,076","$26,364,130","$7,677,049","$12,690,040","$26,732,766","$42,211,593","$1,504,142","$20,074,692","$1,654,094","$66,779,838","$12,513,405","$20,647,190","$4,888,837","$419,196","$8,147,496","$4,095,078","$5,427,714","$6,467,364","$3,781,347","$1,130,059","$7,466,007"
2016,Alabama,"$7,894,336","$1,774,442","$671,622","$136,199","$110,820","$542,585","$2,013,784",$0,"$385,731","$3,574","$1,343,704","$1,951","$372,450","$1,367",$0,"$158,157","$239,046","$18,615","$10,827","$50,515","$45,211","$13,734"
2016,Alaska,"$911,978","$135,996","$128,081","$23,242","$45,312","$43,977",$0,$0,"$22,018",$0,"$364,757","$11,769","$22,551",$381,$0,"$1,210",$-481,"$18,433","$83,154","$5,794",$0,"$5,786"
2016,Arizona,"$6,643,974","$2,209,377","$514,206","$20,396","$303,395","$431,097",$0,$0,"$194,978","$14,241","$713,709","$860,992","$595,850","$64,257","$26,763","$209,551","$29,133","$366,329","$27,769","$21,421","$5,472","$35,040"
2016,Arkansas,"$4,038,978","$562,693","$193,896","$136,003","$90,646","$301,286","$1,175,658",$0,"$289,907",$541,"$744,936","$33,607","$250,264","$92,976","$4,653","$107,990","$2,092","$5,302","$7,568","$35,191","$2,006","$1,761"
2016,California,"$54,374,263","$7,262,616","$3,517,782","$1,254,520","$1,728,666","$2,165,127","$10,235,899",$0,"$5,517,465","$6,867","$9,912,897","$3,643,602","$3,241,978","$1,629,409","$142,610","$1,210,784","$415,551","$843,981","$333,671","$335,733","$31,937","$943,169"
2016,Colorado,"$7,445,288","$2,153,561","$984,650","$511,243","$237,691","$612,448","$938,420",$0,"$507,814","$448,788","$43,899","$114,979","$276,057","$12,041",$700,"$254,726","$45,388","$32,953","$140,529","$46,860",$-671,"$83,211"
2016,Connecticut,"$4,127,607","$706,826","$188,625","$73,214","$42,348","$325,378","$377,968","$190,990","$153,739",$0,"$1,301,766",$0,"$155,274","$3,329",$40,"$39,346","$1,986","$55,394","$467,007","$5,071",$46,"$39,258"
2016,Delaware,"$321,861","$71,767","$31,208","$20,414",$0,"$25,034",$0,$0,"$7,930",$0,"$114,076",$0,"$30,137",$0,"$7,829",$77,$172,$0,"$11,700",$0,$0,"$1,519"
2016,District of Columbia,"$163,578","$34,000","$15,967",$0,"$6,936",$536,$0,$0,"$2,487",$0,"$71,942",$0,"$8,015",$0,$0,"$1,411","$5,401","$1,525","$15,357",$0,"$1,525","$-1,525"
2016,Florida,"$12,511,603","$2,602,048","$1,094,287","$191,207","$1,033,730","$842,919",$0,"$13,698","$183,605",$388,"$3,912,897","$36,223","$1,322,027","$319,088","$20,883","$277,420","$81,524","$78,179","$279,181","$220,160",$18,"$2,119"
2016,Georgia,"$8,458,386","$2,184,980","$836,367","$69,574","$526,040","$902,465","$204,334",$0,"$259,524",$0,"$2,141,041",$23,"$788,245","$12,584","$12,997","$126,900","$17,084","$22,337","$18,836","$318,058",$660,"$16,339"
2016,Hawaii,"$1,713,195","$273,519","$320,966","$31,956","$47,070","$105,016",$0,"$27,807","$9,440",$0,"$441,373",$0,"$62,737","$190,338",$0,"$2,781","$2,885","$106,695","$56,009","$6,966",$0,"$27,636"
2016,Idaho,"$1,303,349","$354,565","$120,898","$30,056","$16,989","$115,362",$0,$0,"$51,187","$5,505","$385,878","$29,171","$99,608","$1,444",$0,"$59,650","$7,716","$5,151","$13,545","$4,802","$1,775",$48
2016,Illinois,"$11,672,916","$2,529,261","$787,067","$143,415","$176,085","$909,840","$754,398","$10,602","$807,696","$20,528","$664,824","$1,082,455","$691,926","$417,919","$12,079","$202,853","$69,067","$2,367,117","$10,162","$14,934",$88,$600
2016,Indiana,"$6,880,099","$2,365,601","$561,299","$62,851","$264,755","$741,583",$0,$0,"$434,001","$16,048","$1,521,652","$8,501","$373,457","$91,227",$0,"$214,654","$30,906","$41,892","$82,881","$37,015","$31,776",$0
2016,Iowa,"$5,898,006","$965,563","$500,102","$69,877","$95,790","$561,298","$1,789,411","$43,048","$337,449",$0,"$847,265","$140,233","$163,619","$7,020",$0,"$155,347","$54,991","$8,827","$49,502","$28,201",$0,"$80,462"
2016,Kansas,"$3,659,958","$921,177","$300,130","$74,956","$140,084","$433,642",$0,$0,"$250,306","$16,357","$743,261","$285,420","$203,753","$4,490","$2,552","$84,869","$12,679","$24,405","$33,161","$118,855",$677,"$9,187"
2016,Kentucky,"$6,192,822","$1,079,966","$402,363","$185,879","$72,216","$382,396","$1,686,548",$0,"$433,328",$0,"$914,783","$23,717","$306,606","$154,838","$4,591","$127,513","$-2,046","$25,646","$104,053","$176,197","$13,438","$100,789"
2016,Louisiana,"$4,214,510","$1,119,587","$285,541","$140,915","$448,179","$400,265","$47,799",$0,"$197,754",$0,"$826,723",$0,"$327,931","$5,640",$0,"$55,897","$31,322","$43,758","$113,508","$126,615","$10,007","$33,068"
2016,Maine,"$866,283","$218,348","$64,494","$34,302","$18,291","$85,693",$0,$0,"$50,181",$500,"$263,476",$0,"$73,223",$0,$0,"$19,089","$1,058","$8,379","$18,962","$5,443","$2,340","$2,503"
2016,Maryland,"$7,609,132","$1,669,332","$723,189","$209,301","$242,364","$727,078",$0,"$1,388","$434,519","$460,960","$1,660,524","$372,794","$335,559","$9,554","$3,552","$75,754","$24,430","$59,241","$550,987","$40,282",$77,"$8,248"
2016,Massachusetts,"$5,443,864","$1,425,578","$378,510","$137,674","$145,432","$545,544",$0,"$48,759","$704,159","$6,827","$1,334,930",$857,"$298,088","$10,307",$158,"$52,684","$17,449","$17,113","$250,137","$66,856",$31,"$2,770"
2016,Michigan,"$15,200,563","$4,134,966","$1,487,280","$91,934","$425,156","$1,144,633","$3,587,347",$0,"$571,794","$10,918","$1,711,176","$555,496","$605,670","$3,483",$0,"$365,618","$-210,031","$93,328","$142,113","$271,893","$191,926","$15,863"
2016,Minnesota,"$5,533,048","$1,306,161","$446,342","$61,760","$394,392","$664,838",$0,$0,"$187,047","$20,367","$1,322,366",$0,"$361,612","$178,704","$43,143","$228,479","$26,759","$43,726","$134,779","$55,297","$6,190","$51,085"
2016,Mississippi,"$4,660,449","$669,427","$346,724","$130,360","$91,742","$359,593","$1,086,205",$164,"$195,329","$24,297","$1,015,214","$67,068","$316,598","$26,264",$0,"$59,109","$20,481","$37,883","$126,572","$52,411","$25,526","$9,483"
2016,Missouri,"$5,230,002","$1,210,631","$220,821","$108,430","$85,030","$839,959","$839,777",$0,"$185,615","$33,084","$928,805","$154,156","$347,472","$10,047","$1,860","$107,853","$41,658","$13,857","$38,320","$29,814","$31,941",$871
2016,Montana,"$1,098,774","$295,451","$168,697","$14,543","$25,300","$100,282",$0,$0,"$84,843","$3,906","$243,656","$9,893","$58,756",$731,$0,"$35,288","$6,033","$6,628","$5,587","$34,450","$4,324",$406
2016,Nebraska,"$2,810,766","$463,947","$210,092","$46,467","$186,664","$338,568","$17,186",$0,"$133,215",$0,"$708,412","$160,297","$115,275","$5,604",$690,"$144,397","$24,121","$46,837","$96,287","$110,711","$2,098",$-100
2016,Nevada,"$1,648,254","$394,682","$148,673","$42,938","$49,478","$99,066",$0,$5,"$122,899",$0,"$532,599",$0,"$125,122",$0,$0,"$51,766","$-1,310","$16,798","$38,346","$26,537",$322,$335
2016,New Hampshire,"$993,343","$395,363","$67,773","$13,630","$38,211","$216,590",$0,$0,"$32,507",$0,"$123,500",$0,"$58,043","$1,185",$0,"$17,564","$-27,435","$27,118","$9,117","$5,551","$8,860","$5,767"
2016,New Jersey,"$7,754,961","$2,341,423","$464,895","$248,698","$158,802","$635,551","$533,932","$17,775","$308,272","$7,711","$1,546,610","$206,901","$494,090","$223,515",$653,"$96,286","$28,099","$18,118","$62,508","$309,874","$39,123","$12,126"
2016,New Mexico,"$3,577,226","$301,112","$375,175","$78,291","$67,934","$102,312","$857,431","$9,158","$280,387","$21,048","$795,942","$146,242","$191,023","$55,427",$0,"$47,256","$11,186","$126,348","$82,906","$4,824","$5,097","$18,126"
2016,New York,"$17,889,738","$2,852,950","$708,954","$568,558","$650,591","$728,971","$2,777,827",$0,"$216,018","$388,213","$5,079,139","$980,353","$1,302,034","$327,126","$30,528","$63,950","$21,628","$381,843","$774,956","$31,241",$263,"$4,594"
2016,North Carolina,"$10,942,834","$1,895,181","$895,953","$86,843","$280,301","$1,709,524",$0,"$16,566","$210,675","$21,801","$3,682,530","$240,152","$864,290","$274,721","$27,326","$288,122","$-34,198","$54,174","$248,804","$64,832","$47,077","$68,160"
2016,North Dakota,"$1,304,462","$311,915","$142,807","$24,976","$29,888","$110,712",$0,$290,"$108,010","$6,488","$352,578","$4,961","$37,945",$0,$0,"$31,978","$5,009","$7,094","$99,473","$29,587",$12,$739
2016,Ohio,"$13,551,380","$3,736,281","$675,851","$150,577","$439,637","$1,180,082","$3,482,636",$262,"$373,932",$696,"$2,046,344","$191,176","$615,075","$48,801","$1,273","$280,581","$-25,608","$47,419","$183,052","$49,376","$65,575","$8,362"
2016,Oklahoma,"$4,807,068","$945,224","$302,564","$164,424","$233,175","$537,512","$92,705","$397,187","$254,686",$602,"$851,103","$320,265","$271,494","$95,893",$2,"$100,466","$13,917","$67,077","$51,015","$56,327","$2,401","$49,027"
2016,Oregon,"$7,258,231","$1,269,627","$637,828","$80,217","$155,021","$539,620","$1,975,819",$0,"$266,966","$9,511","$778,527","$242,332","$286,213","$57,994","$11,010","$642,627","$47,207","$20,552","$41,315","$176,215","$15,590","$4,040"
2016,Pennsylvania,"$3,280,700","$1,220,180","$51,676","$125,578","$18,126","$353,548",$0,$0,"$86,786","$3,081","$692,064","$114,862","$388,014","$27,531","$1,510","$38,935","$17,643","$41,934","$79,708","$10,255",$351,"$8,917"
2016,Rhode Island,"$815,680","$289,998","$69,185","$21,743","$6,972","$108,736",$0,"$18,298","$7,128",$0,"$164,729",$0,"$56,307","$2,802",$0,"$9,596",$636,$0,"$55,144","$3,733",$307,$366
2016,South Carolina,"$4,588,632","$1,546,073","$413,101","$329,725","$94,353","$511,434",$0,$0,"$327,641","$11,632","$582,745","$69,318","$307,445","$1,536",$1,"$199,221","$13,659","$17,275","$101,545","$47,931","$3,348","$10,649"
2016,South Dakota,"$936,182","$257,501","$96,578","$41,965","$28,491","$72,359",$0,$0,"$62,363","$7,192","$199,367",$0,"$52,492","$1,129",$0,"$14,973","$6,809","$3,112","$19,757","$60,291","$1,661","$10,141"
2016,Tennessee,"$4,803,586","$1,167,123","$288,085","$112,718","$236,297","$344,821",$0,"$68,910","$229,578","$14,354","$1,211,611","$6,216","$464,132","$273,555",$2,"$75,595","$44,339","$6,384","$177,502","$35,384","$20,275","$26,706"
2016,Texas,"$37,157,665","$5,656,856","$2,033,202","$860,786","$1,869,425","$1,552,155","$2,775,207","$65,439","$2,509,817","$37,462","$5,900,536","$1,920,271","$1,835,683","$89,000","$38,372","$715,690","$2,945,195","$135,938","$239,440","$132,873","$350,778","$5,493,540"
2016,Utah,"$6,290,143","$830,264","$415,218","$27,401","$125,832","$251,363","$1,998,637","$572,346","$442,335",$0,"$929,135",$0,"$232,160","$32,827",$971,"$133,409","$49,865","$2,084","$140,028","$53,168","$28,753","$24,347"
2016,Vermont,"$848,631","$389,158","$126,683","$5,623","$56,123","$111,393",$0,$0,"$34,508",$0,"$68,719",$0,"$23,826",$0,$0,"$22,151","$-6,238","$9,753","$4,406",$418,"$2,109",$0
2016,Virginia,"$10,109,887","$2,742,082","$853,199","$41,780","$199,729","$1,387,125","$1,527,968","$1,449","$238,741",$0,"$1,697,576","$2,859","$414,568","$21,550",$291,"$358,450","$-107,833","$14,495","$404,810","$218,844","$18,490","$73,714"
2016,Washington,"$9,185,651","$1,971,044","$1,217,708","$348,420","$456,820","$752,789","$1,434,696",$0,"$470,178","$11,008","$1,288,291",$0,"$378,369","$87,398","$22,151","$167,911","$92,363","$21,763","$280,260","$25,739","$101,643","$57,102"
2016,West Virginia,"$1,992,144","$604,352","$140,443","$112,087","$93,855","$249,767",$0,$0,"$54,169",$167,"$380,227","$1,469","$119,756","$1,713",$3,"$54,196",$553,"$6,936",$87,"$170,190",$0,"$2,175"
2016,Wisconsin,"$6,419,888","$1,411,511","$675,945","$116,328","$380,985","$466,590",$0,$0,"$805,462","$19,431","$1,303,185","$420,273","$293,260","$7,318",$0,"$313,767","$6,061",$361,"$89,089","$47,042","$4,437","$58,842"
2016,Wyoming,"$953,236","$85,788","$61,428","$63,059","$18,872","$62,306",$0,$0,"$38,572",$0,"$372,838","$52,552","$31,109","$4,774",$0,"$43,600","$-2,843","$7,608","$61,931","$1,570","$5,168","$44,902"
2015,Total,"$336,749,895","$70,241,260","$26,009,180","$7,267,579","$12,167,519","$25,765,818","$38,377,649","$1,476,595","$18,841,522","$1,767,141","$64,841,335","$11,544,322","$21,766,779","$4,431,297","$292,461","$7,716,163","$1,107,577","$5,167,510","$6,295,695","$3,709,702","$1,012,258","$6,950,532"
2015,Alabama,"$7,176,332","$1,689,334","$654,973","$122,589","$152,144","$463,240","$1,786,782",$0,"$377,264","$2,561","$1,328,633","$1,912","$390,601","$1,007",$0,"$177,438","$-82,223","$17,683","$6,978","$18,625","$39,644","$27,147"
2015,Alaska,"$968,633","$129,667","$123,308","$25,771","$46,315","$42,458",$0,$0,"$20,753",$0,"$389,703","$11,254","$25,091",$432,$0,"$1,387","$3,220","$24,100","$112,237","$5,462",$0,"$7,475"
2015,Arizona,"$6,262,884","$2,006,628","$506,743","$16,025","$229,212","$422,192",$0,$0,"$195,402","$13,600","$833,734","$827,914","$598,382","$56,443","$25,865","$176,391","$17,253","$221,286","$42,975","$55,495","$5,740","$11,604"
2015,Arkansas,"$3,870,640","$526,191","$191,139","$102,598","$125,148","$280,483","$1,021,183",$0,"$265,674",$594,"$754,347","$32,821","$270,118","$94,703","$4,076","$97,335","$15,701","$8,067","$6,770","$70,921","$1,132","$1,637"
2015,California,"$50,950,065","$6,851,109","$3,485,727","$1,122,035","$1,698,618","$2,104,157","$8,972,683",$0,"$5,171,762","$69,445","$8,873,493","$3,156,985","$3,218,879","$1,146,174","$54,357","$1,047,644","$395,502","$1,085,700","$304,585","$267,877","$28,537","$1,894,795"
2015,Colorado,"$7,023,670","$2,055,215","$946,971","$431,871","$213,803","$573,964","$829,176",$0,"$456,823","$482,490","$41,090","$98,222","$298,690","$11,035",$855,"$216,263","$57,054","$39,525","$89,062","$113,280","$25,978","$42,303"
2015,Connecticut,"$4,020,816","$669,030","$174,825","$67,660","$37,917","$297,127","$360,285","$209,985","$155,474",$0,"$1,225,863",$0,"$160,202","$9,798",$33,"$36,036","$1,017","$48,934","$509,125","$25,428",$107,"$31,970"
2015,Delaware,"$304,123","$71,345","$26,492","$19,043",$0,"$23,420",$0,$0,"$4,487",$0,"$110,193",$0,"$31,297",$0,"$6,832",$27,$655,"$1,047","$8,600",$0,$0,$686
2015,District of Columbia,"$180,778","$31,083","$15,544",$0,"$6,132",$442,$0,$0,"$3,653",$0,"$73,458",$0,"$8,044",$0,$0,$896,"$-1,253",$0,"$42,779",$0,$0,$0
2015,Florida,"$12,386,532","$2,490,398","$1,079,022","$193,165","$993,789","$840,801",$0,"$10,738","$187,027",$263,"$3,736,369","$34,435","$1,393,404","$339,222","$20,211","$360,286","$67,434","$134,027","$336,226","$165,386",$25,"$4,304"
2015,Georgia,"$8,377,313","$2,039,266","$828,076","$66,384","$498,171","$886,196","$186,323","$1,864","$257,493",$0,"$2,072,679",$470,"$821,777","$9,349","$9,892","$155,316","$17,641","$22,564",$892,"$461,614",$90,"$41,256"
2015,Hawaii,"$1,650,496","$263,247","$323,701","$28,296","$45,729","$100,996",$0,"$25,465","$8,739",$0,"$413,149",$0,"$67,399","$177,527",$0,"$2,783","$2,509",$575,"$161,822","$10,378",$0,"$18,181"
2015,Idaho,"$1,276,320","$345,138","$119,025","$29,870","$16,891","$119,504",$0,$0,"$48,967","$5,451","$372,241","$28,006","$109,347","$1,330",$0,"$51,680","$2,643","$4,866","$10,441","$7,251","$3,617",$52
2015,Illinois,"$12,492,505","$2,439,824","$753,265","$199,917","$179,812","$924,842","$695,716","$12,899","$785,921","$13,305","$1,764,425","$1,073,078","$755,526","$511,033","$18,468","$215,531","$82,637","$1,953,320","$87,708","$15,176","$3,730","$6,373"
2015,Indiana,"$6,863,577","$2,303,302","$540,400","$44,693","$285,840","$721,881",$0,$0,"$449,517","$23,053","$1,476,900","$8,283","$422,354","$93,486",$0,"$202,661","$93,201","$30,288","$88,064","$40,159","$31,952","$7,544"
2015,Iowa,"$5,632,902","$938,644","$490,924","$77,996","$87,629","$528,377","$1,611,592","$48,099","$302,022",$0,"$847,156","$128,083","$178,833","$7,213",$0,"$143,341","$17,546","$5,188","$45,003","$33,448","$1,000","$140,810"
2015,Kansas,"$3,663,053","$900,663","$304,999","$66,246","$165,086","$351,805",$0,$0,"$282,707","$16,084","$754,713","$278,371","$226,489","$5,346","$2,119","$86,285","$4,168","$25,502","$35,535","$143,809","$5,859","$7,266"
2015,Kentucky,"$5,865,476","$1,070,579","$391,988","$179,268","$57,989","$363,398","$1,576,059",$0,"$415,747",$0,"$913,793","$22,014","$340,981","$143,763","$4,972","$118,068","$50,140","$27,856","$34,572","$54,371","$8,427","$91,492"
2015,Louisiana,"$4,054,789","$1,028,666","$274,829","$141,485","$469,567","$406,449","$25,835",$0,"$180,481",$0,"$776,519",$0,"$343,725","$6,165",$0,"$56,939","$22,275","$49,080","$70,764","$183,731","$11,793","$6,487"
2015,Maine,"$872,633","$220,410","$63,243","$32,635","$18,341","$87,276",$0,$0,"$50,535",$800,"$258,650",$0,"$77,697",$130,$0,"$17,380",$-787,"$13,177","$23,035","$6,882","$2,367",$859
2015,Maryland,"$7,311,084","$1,602,089","$694,349","$213,969","$229,734","$718,775",$0,"$1,221","$426,308","$452,449","$1,595,878","$355,706","$358,912","$10,349","$3,215","$73,248","$35,834","$54,854","$450,546","$28,507",$414,"$4,726"
2015,Massachusetts,"$5,099,951","$1,334,492","$360,223","$132,094","$144,791","$517,728",$0,"$49,427","$512,362","$6,619","$1,255,728",$745,"$317,027","$10,986",$144,"$39,078","$27,163","$14,619","$221,734","$95,872",$366,"$58,751"
2015,Michigan,"$15,260,218","$4,018,745","$1,429,475","$80,744","$431,719","$1,103,171","$3,264,832","$8,748","$609,749","$10,490","$1,707,764","$545,631","$673,859","$4,120",$0,"$373,119","$499,326","$92,797","$138,000","$91,501","$173,863","$2,564"
2015,Minnesota,"$5,368,372","$1,277,960","$470,165","$49,703","$358,755","$645,278",$0,$0,"$171,535","$18,192","$1,245,010",$0,"$386,815","$180,202","$51,248","$207,201","$88,407","$25,991","$111,973","$29,536","$15,338","$35,062"
2015,Mississippi,"$4,464,289","$630,967","$321,461","$126,323","$90,102","$335,548","$1,043,116",$391,"$167,130","$23,720","$989,452","$65,091","$331,669","$22,606",$37,"$57,737","$18,058","$39,857","$128,040","$64,328","$1,827","$6,829"
2015,Missouri,"$5,146,354","$1,175,580","$225,359","$95,171","$87,653","$816,816","$788,975",$0,"$167,892","$34,846","$910,068","$141,358","$376,416","$6,386","$1,372","$96,225","$64,898","$78,303","$7,860","$38,203","$32,807",$165
2015,Montana,"$1,048,559","$293,732","$160,028","$16,777","$21,743","$98,219",$0,$0,"$84,124","$3,679","$226,146","$10,104","$62,014","$1,004",$0,"$35,587","$5,976","$6,098","$1,378","$17,422",$221,"$4,305"
2015,Nebraska,"$2,794,845","$448,524","$211,411","$41,966","$191,173","$315,747","$19,637",$0,"$117,013",$0,"$686,504","$149,413","$126,167","$5,174",$433,"$157,152","$30,783","$126,979","$80,479","$83,195",$58,"$3,038"
2015,Nevada,"$1,578,911","$370,887","$144,517","$33,774","$41,206","$101,131",$0,$251,"$108,615",$0,"$479,325",$0,"$132,170",$0,$0,"$51,320","$4,457","$24,749",$41,"$85,944",$525,$0
2015,New Hampshire,"$1,003,916","$392,039","$70,275","$13,615","$36,937","$211,869",$0,$0,"$28,871",$0,"$118,859",$0,"$58,916","$1,269",$0,"$11,837","$3,543","$20,607","$9,554","$4,430","$11,166","$10,130"
2015,New Jersey,"$7,650,131","$2,241,334","$449,907","$270,089","$155,926","$633,075","$518,019","$18,657","$274,814","$7,668","$1,560,844","$201,717","$512,844","$222,912",$390,"$73,741","$57,670","$19,401","$105,189","$301,012","$23,710","$1,211"
2015,New Mexico,"$3,639,635","$296,646","$393,691","$70,948","$78,935","$105,311","$901,440","$4,322","$281,285","$18,580","$789,545","$148,120","$204,432","$58,687",$0,"$40,213","$26,994","$121,816","$76,015","$6,892","$5,990","$9,773"
2015,New York,"$17,143,742","$2,706,309","$686,993","$553,482","$691,696","$713,598","$2,634,882",$0,"$244,680","$412,001","$4,692,896","$834,288","$1,337,208","$329,900","$21,515","$80,083","$13,468","$325,437","$792,816","$66,699",$135,"$5,655"
2015,North Carolina,"$11,007,637","$1,791,708","$959,235","$72,212","$220,932","$1,630,069",$0,"$17,859","$201,706","$24,766","$3,550,508","$229,527","$941,295","$275,456","$27,372","$356,014","$271,330","$71,212","$202,965","$113,852","$48,417","$1,201"
2015,North Dakota,"$1,322,282","$300,800","$140,142","$27,932","$34,103","$106,742",$0,$322,"$106,443","$6,702","$338,725","$5,882","$38,295",$2,$0,"$30,719","$5,315","$7,858","$128,269","$43,975",$6,$51
2015,Ohio,"$13,327,451","$3,692,860","$665,651","$175,743","$415,597","$1,178,643","$3,114,492",$302,"$309,893",$669,"$1,951,811","$175,145","$683,434","$40,359","$1,015","$340,158","$246,412","$34,779","$195,789","$41,353","$63,055",$293
2015,Oklahoma,"$4,810,139","$901,866","$276,395","$155,955","$219,303","$535,404","$78,501","$380,646","$264,080",$396,"$974,525","$310,108","$286,695","$97,546",$2,"$91,449","$21,530","$60,336","$44,452","$70,288","$1,308","$39,355"
2015,Oregon,"$6,626,070","$1,253,414","$658,293","$69,162","$141,309","$522,097","$1,808,938",$0,"$239,563","$10,878","$571,526","$242,266","$321,727","$57,348","$10,578","$309,232","$38,732","$20,297","$25,798","$146,156","$15,772","$162,984"
2015,Pennsylvania,"$3,230,454","$1,197,819","$50,497","$127,128","$16,838","$354,825",$0,$0,"$94,884","$4,490","$658,936","$112,932","$409,718","$30,050","$1,576","$25,587","$16,671","$34,291","$75,926","$8,028","$1,912","$8,347"
2015,Rhode Island,"$808,957","$279,130","$71,564","$19,038","$6,058","$108,180",$0,"$21,396","$7,400",$0,"$158,116",$0,"$58,450","$1,659",$0,"$9,654",$509,$0,"$65,653","$1,418",$177,$554
2015,South Carolina,"$4,449,949","$1,478,180","$409,667","$313,546","$91,584","$460,740",$0,$0,"$326,780","$11,338","$575,626","$66,442","$339,251","$1,042",$10,"$190,040","$17,432","$46,027","$56,938","$50,431","$6,142","$8,733"
2015,South Dakota,"$843,939","$244,302","$95,082","$24,471","$25,476","$72,308",$0,$0,"$53,151","$5,971","$190,402",$0,"$56,997","$2,302",$0,"$17,966","$-7,424","$2,511","$17,987","$35,804",$259,"$6,373"
2015,Tennessee,"$4,597,524","$1,140,274","$280,022","$106,443","$191,888","$329,624",$0,"$70,968","$212,563","$19,038","$1,156,443","$5,974","$478,376","$242,903",$0,"$83,892","$37,927","$5,712","$162,155","$38,304","$18,298","$16,719"
2015,Texas,"$29,141,263","$5,344,959","$2,071,374","$771,157","$1,722,327","$1,470,966","$2,506,407","$63,195","$2,248,099","$36,191","$5,511,862","$1,779,359","$1,936,548","$45,647","$3,749","$720,253","$-2,006,926","$158,522","$240,099","$183,558","$281,215","$4,052,702"
2015,Utah,"$5,850,158","$797,271","$406,005","$30,813","$120,582","$236,493","$1,816,284","$527,486","$395,900",$0,"$875,529",$0,"$246,717","$38,789",$409,"$134,917","$61,937","$1,149","$75,086","$48,638","$32,806","$3,347"
2015,Vermont,"$827,828","$372,411","$127,623","$4,586","$52,788","$108,559",$0,$0,"$31,422",$0,"$70,260",$0,"$26,467",$140,$0,"$24,553","$4,667",$421,"$2,888",$170,$873,$0
2015,Virginia,"$10,273,568","$2,625,740","$833,403","$46,280","$180,637","$1,331,498","$1,454,213","$2,353","$238,005",$0,"$1,632,326","$2,782","$442,281","$19,442",$192,"$355,402","$447,127","$22,572","$366,071","$162,561","$20,366","$90,318"
2015,Washington,"$9,017,543","$1,945,653","$1,217,605","$356,352","$385,786","$706,082","$1,362,279",$0,"$459,222","$10,559","$1,195,478",$0,"$403,727","$96,619","$21,488","$168,483","$289,062","$19,609","$277,532","$29,404","$69,654","$2,951"
2015,West Virginia,"$1,913,228","$581,155","$126,038","$113,010","$87,184","$243,308",$0,$0,"$53,599",$594,"$399,838","$1,688","$126,536","$1,029",$36,"$41,111","$5,969","$6,769","$15,573","$106,361",$0,"$3,430"
2015,Wisconsin,"$6,407,717","$1,348,846","$648,189","$118,649","$350,267","$452,462",$0,$0,"$746,668","$19,657","$1,395,833","$408,367","$321,558","$8,335",$0,"$316,370","$6,596","$1,639","$157,515","$34,047","$3,994","$68,724"
2015,Wyoming,"$890,646","$85,828","$59,347","$68,902","$16,356","$62,542",$0,$0,"$37,321",$0,"$358,462","$49,830","$31,421","$4,876",$0,"$40,137","$7,799","$9,512","$44,205","$2,522","$11,585",$0
2014,Total,"$342,163,868","$67,489,952","$26,273,595","$6,883,037","$11,224,369","$24,698,474","$34,628,117","$1,396,353","$17,604,621","$1,824,946","$62,285,302","$11,389,983","$22,099,452","$4,050,755","$292,612","$7,329,245","$18,549,371","$6,634,443","$5,316,926","$3,835,969","$1,123,705","$7,232,640"
2014,Alabama,"$7,144,384","$1,610,285","$655,919","$120,433","$132,421","$417,042","$1,647,047",$0,"$346,158","$2,335","$1,317,764","$1,895","$399,137","$1,904",$0,"$156,725","$202,176","$18,224","$36,027","$31,853","$40,137","$6,900"
2014,Alaska,"$1,049,003","$126,748","$123,150","$26,024","$51,665","$40,032",$0,$0,"$20,655",$0,"$392,451","$10,789","$25,765",$764,$0,$768,"$21,805","$29,041","$170,232","$9,114",$0,$0
2014,Arizona,"$5,835,296","$1,794,090","$542,842","$18,369","$137,475","$398,592",$0,$0,"$159,680","$12,573","$789,580","$798,085","$601,961","$50,054","$22,083","$170,121","$73,870","$156,554","$44,360","$44,947","$6,561","$13,499"
2014,Arkansas,"$3,813,260","$510,196","$215,855","$90,282","$114,894","$255,140","$919,366",$0,"$259,074","$1,175","$790,816","$32,279","$282,394","$103,076","$3,554","$101,590","$45,422","$5,271","$48,404","$32,999",$142,"$1,328"
2014,California,"$49,272,426","$6,589,706","$3,516,646","$909,304","$1,572,789","$1,996,833","$8,055,683",$0,"$4,634,800","$62,600","$8,192,212","$3,006,253","$3,108,741","$913,123","$55,989","$969,187","$446,269","$2,385,274","$284,076","$550,510","$20,970","$2,001,461"
2014,Colorado,"$7,499,525","$1,912,392","$943,147","$370,480","$210,336","$547,949","$784,745",$0,"$424,050","$597,910","$39,838","$83,364","$312,986","$9,663",$700,"$200,039","$256,102","$49,885","$35,277","$55,292","$4,513","$660,856"
2014,Connecticut,"$3,643,627","$628,393","$246,929","$62,838","$32,210","$298,520","$314,310","$185,185","$122,796",$0,"$1,088,777",$0,"$146,726","$1,659",$12,"$33,590","$2,216","$50,474","$401,158","$21,643",$767,"$5,424"
